symbol,period_start,period_end,n_trading_days,total_return_pct,cagr_pct,annual_volatility_pct,downside_volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,max_drawdown_duration_days,var_95_daily_pct,var_99_daily_pct,cvar_95_daily_pct,cvar_99_daily_pct,var_95_param_pct,skewness,excess_kurtosis,win_rate_pct,avg_gain_pct,avg_loss_pct,gain_loss_ratio,beta,alpha_annual,r_squared,correlation,sector,risk_level
BAJAJFINSV,2015-01-01,2021-04-30,1566,758.2,40.46,36.4,26.63,0.974,1.332,0.691,-58.59,256,-3.106,-5.483,-4.912,-8.487,-3.608,-0.6975,12.5731,52.01,1.6764,-1.4751,1.136,1.04,32.165,0.3491,0.5908,FINANCIAL SERVICES,HIGH
HINDUNILVR,2015-01-01,2021-04-30,1566,210.34,19.6,23.76,14.09,0.614,1.036,0.919,-21.32,535,-2.082,-3.447,-2.914,-4.562,-2.378,1.0194,8.8102,50.48,1.1334,-0.9867,1.149,0.503,16.594,0.1916,0.4377,CONSUMER GOODS,MEDIUM
ASIANPAINT,2015-01-01,2021-04-30,1566,238.57,21.26,26.6,17.83,0.611,0.912,0.737,-28.86,226,-2.39,-4.101,-3.537,-5.777,-2.664,-0.0814,5.2173,51.37,1.2677,-1.1547,1.098,0.685,17.134,0.2837,0.5326,CONSUMER GOODS,HIGH
TITAN,2015-01-01,2021-04-30,1566,292.75,24.14,32.85,21.88,0.583,0.875,0.578,-41.73,510,-2.841,-4.533,-4.313,-7.522,-3.295,0.8064,10.8293,51.82,1.4563,-1.3534,1.076,0.727,20.961,0.2092,0.4574,CONSUMER GOODS,HIGH
SHREECEM,2015-01-01,2021-04-30,1566,197.63,18.81,31.29,19.64,0.441,0.703,0.51,-36.9,497,-2.894,-4.591,-4.103,-5.926,-3.153,0.2906,2.2582,51.37,1.4887,-1.3897,1.071,0.988,13.72,0.426,0.6527,CEMENT & CEMENT PRODUCTS,HIGH
NESTLEIND,2015-01-01,2021-04-30,1566,158.14,16.17,25.51,16.05,0.438,0.696,0.499,-32.4,650,-2.132,-3.964,-3.293,-5.261,-2.57,0.5967,5.9765,50.35,1.1904,-1.0607,1.122,0.565,13.518,0.2097,0.4579,CONSUMER GOODS,HIGH
ULTRACEMCO,2015-01-01,2021-04-30,1566,135.83,14.52,29.22,19.63,0.326,0.485,0.386,-37.66,364,-2.757,-4.131,-3.873,-6.235,-2.956,0.0892,5.9163,51.25,1.362,-1.2861,1.059,0.912,10.029,0.4166,0.6454,CEMENT & CEMENT PRODUCTS,HIGH
TATASTEEL,2015-01-01,2021-04-30,1566,155.66,15.99,39.07,26.17,0.281,0.42,0.237,-67.61,791,-3.744,-6.374,-5.476,-8.191,-3.958,0.0691,2.7528,50.73,1.8588,-1.7356,1.071,0.956,14.305,0.2557,0.5057,METALS,VERY HIGH
HDFC,2015-01-01,2021-04-30,1566,115.31,12.89,30.35,21.6,0.26,0.365,0.324,-39.83,344,-2.741,-4.957,-4.269,-7.311,-3.077,-0.1129,5.9598,50.86,1.3857,-1.3007,1.065,0.797,9.928,0.2948,0.5429,FINANCIAL SERVICES,HIGH
ADANIPORTS,2015-01-01,2021-04-30,1566,128.46,13.95,36.81,26.32,0.243,0.34,0.26,-53.69,706,-3.188,-5.925,-5.163,-9.088,-3.734,-0.2317,6.3685,50.22,1.6829,-1.5597,1.079,0.845,12.651,0.2253,0.4746,SERVICES,HIGH
RELIANCE,2015-01-01,2021-04-30,1566,124.63,13.64,36.34,34.79,0.238,0.249,0.259,-52.68,706,-2.561,-4.245,-4.538,-9.857,-3.683,-6.5765,153.0457,51.95,1.3842,-1.327,1.043,0.68,14.727,0.1499,0.3871,ENERGY,HIGH
HINDALCO,2015-01-01,2021-04-30,1566,129.98,14.07,41.73,27.56,0.217,0.329,0.205,-68.58,767,-3.835,-6.913,-5.683,-8.969,-4.237,0.0653,3.5555,50.22,2.0064,-1.8795,1.068,1.075,12.625,0.2837,0.5326,METALS,VERY HIGH
MARUTI,2015-01-01,2021-04-30,1566,93.24,10.97,30.05,21.76,0.199,0.275,0.185,-59.2,682,-2.6,-4.928,-4.288,-7.292,-3.054,0.062,10.3839,50.1,1.323,-1.2094,1.094,0.927,6.938,0.4071,0.638,AUTOMOBILE,HIGH
BRITANNIA,2015-01-01,2021-04-30,1566,88.32,10.52,33.32,32.68,0.166,0.169,0.152,-69.02,662,-2.37,-4.19,-4.164,-8.887,-3.386,-8.1029,195.0419,49.71,1.2682,-1.1229,1.129,0.692,10.654,0.1844,0.4294,CONSUMER GOODS,VERY HIGH
UPL,2015-01-01,2021-04-30,1566,77.66,9.51,39.69,31.22,0.114,0.144,0.126,-75.39,468,-3.398,-6.826,-5.646,-10.442,-4.044,-1.1289,19.0935,51.25,1.7171,-1.6703,1.028,0.811,10.175,0.1784,0.4224,FERTILISERS & PESTICIDES,VERY HIGH
POWERGRID,2015-01-01,2021-04-30,1566,60.5,7.76,24.54,16.43,0.113,0.168,0.214,-36.2,874,-2.295,-3.691,-3.327,-5.247,-2.501,-0.0598,3.5019,49.01,1.1905,-1.0846,1.098,0.439,6.757,0.1367,0.3698,ENERGY,MEDIUM
ICICIBANK,2015-01-01,2021-04-30,1566,70.45,8.79,36.42,24.68,0.104,0.154,0.168,-52.35,1019,-3.314,-5.569,-4.934,-8.519,-3.714,0.1404,6.4944,49.01,1.7033,-1.5225,1.119,0.959,6.744,0.2965,0.5446,FINANCIAL SERVICES,HIGH
DRREDDY,2015-01-01,2021-04-30,1566,60.82,7.8,29.65,20.53,0.094,0.136,0.138,-56.46,1179,-2.631,-4.748,-4.096,-6.691,-3.024,0.1583,7.4736,50.1,1.3318,-1.2459,1.069,0.423,8.307,0.0869,0.2948,PHARMA,HIGH
BAJAJ-AUTO,2015-01-01,2021-04-30,1566,56.34,7.32,26.75,18.9,0.087,0.123,0.169,-43.29,716,-2.388,-4.015,-3.676,-6.576,-2.729,0.0144,8.4927,50.35,1.1922,-1.1258,1.059,0.68,4.772,0.2762,0.5255,AUTOMOBILE,HIGH
HDFCBANK,2015-01-01,2021-04-30,1566,48.34,6.43,30.74,32.78,0.047,0.044,0.093,-69.23,453,-1.909,-3.68,-3.786,-8.782,-3.137,-10.8437,280.7326,51.76,1.0317,-1.0083,1.023,0.678,6.162,0.2079,0.456,FINANCIAL SERVICES,VERY HIGH
BAJFINANCE,2015-01-01,2021-04-30,1566,55.78,7.26,54.09,59.54,0.042,0.038,0.078,-93.28,1149,-3.642,-7.374,-6.952,-15.163,-5.456,-11.9152,311.7764,52.97,1.8249,-1.745,1.046,1.398,25.293,0.2856,0.5344,FINANCIAL SERVICES,VERY HIGH
BHARTIARTL,2015-01-01,2021-04-30,1566,47.91,6.38,33.74,20.97,0.041,0.066,0.134,-47.47,558,-3.241,-5.236,-4.429,-6.672,-3.449,0.4642,3.4742,49.14,1.5973,-1.4535,1.099,0.572,6.91,0.1228,0.3504,TELECOM,HIGH
CIPLA,2015-01-01,2021-04-30,1566,44.87,6.03,28.21,17.43,0.037,0.059,0.122,-49.34,1229,-2.497,-4.367,-3.636,-5.621,-2.884,0.7191,4.9907,46.9,1.362,-1.1385,1.196,0.449,5.954,0.1081,0.3288,PHARMA,HIGH
AXISBANK,2015-01-01,2021-04-30,1566,42.11,5.71,37.8,28.17,0.019,0.025,0.09,-63.16,863,-3.274,-5.718,-5.199,-9.508,-3.866,-0.5677,17.4247,50.22,1.6485,-1.5645,1.054,0.989,4.179,0.2923,0.5407,FINANCIAL SERVICES,VERY HIGH
KOTAKBANK,2015-01-01,2021-04-30,1566,38.95,5.34,34.78,34.7,0.01,0.01,0.091,-58.45,1012,-2.527,-5.103,-4.587,-9.838,-3.555,-7.7787,181.9501,51.69,1.2753,-1.2656,1.008,0.71,6.208,0.178,0.4219,FINANCIAL SERVICES,HIGH
VEDL,2015-01-01,2021-04-30,1566,17.33,2.56,47.11,35.49,-0.052,-0.069,0.031,-82.19,804,-4.426,-8.381,-7.059,-12.383,-4.827,-0.4915,5.6857,50.42,2.1364,-2.0886,1.023,1.017,4.83,0.1992,0.4463,METALS,VERY HIGH
INDUSINDBK,2015-01-01,2021-04-30,1566,15.14,2.25,44.57,33.54,-0.062,-0.082,0.026,-85.11,675,-3.432,-7.267,-6.151,-11.824,-4.571,1.997,52.4101,50.03,1.6858,-1.5967,1.056,1.035,2.859,0.2306,0.4802,FINANCIAL SERVICES,VERY HIGH
